symbol,security_name,listing_exchange,etf,financial_status,zip,sector,fullTimeEmployees,city,state,country,industry,twoHundredDayAverage,trailingAnnualDividendYield,averageDailyVolume10Day,regularMarketPreviousClose,open,averageVolume10days,dividendRate,regularMarketVolume,marketCap,averageVolume,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiveYearAvgDividendYield,dividendYield,bidSize,dayHigh,enterpriseToRevenue,forwardEps,revenueQuarterlyGrowth,bookValue,sharesShort,shortRatio,floatShares,enterpriseValue,regularMarketPrice,latest_dividend
COF,Capital One Financial Corporation Common Stock,N,N,,22102,Financial Services,52100.0,McLean,VA,United States,Credit Services,82.415,0.022573365,4557085,70.88,70.27,4557085,1.6,534309,31213778944.0,5908504,67.88,72.5,107.59,8.350183,1.9,0.0226,1100.0,72.04,3.405,8.21,,113.375,7491489.0,1.21,450911788.0,63981285376.0,70.27,0.4
COFS,"ChoiceOne Financial Services, Inc. - Common Stock",Q,N,N,49345,Financial Services,270.0,Sparta,MI,United States,Banks—Regional,29.523603,0.027586207,18771,29.0,29.0,18771,0.8,244,210353824.0,8883,28.94,0.0,34.0,,2.78,0.0271,900.0,29.625,4.513,,,27.009,4462.0,0.78,6614608.0,200691920.0,29.0,0.2
COG,Cabot Oil & Gas Corporation Common Stock,N,N,,77024,Energy,547.0,Houston,TX,United States,Oil & Gas E&P,17.115294,0.018691588,5614471,20.33,19.68,5614471,0.4,272105,8222622720.0,10002361,20.22,20.5,25.85,13.845637,0.85,0.0197,3000.0,20.64,5.357,1.49,,5.44,11117778.0,1.39,390536242.0,9227723776.0,19.68,0.1
COKE,"Coca-Cola Consolidated, Inc. - Common Stock",Q,N,N,28211,Consumer Defensive,14800.0,Charlotte,NC,United States,Beverages—Non-Alcoholic,251.44308,0.003991379,28528,250.54,254.0,28528,1.0,3536,2399416320.0,62558,243.103,285.0,382.51,20.76022,0.53,0.004,2200.0,255.9735,0.727,12.33,,38.322,209558.0,3.91,4659192.0,3559698176.0,254.0,0.25
COLB,"Columbia Banking System, Inc. - Common Stock",Q,N,N,98402,Financial Services,2162.0,Tacoma,WA,United States,Banks—Regional,33.267796,0.042248208,367942,26.51,27.27,367942,1.12,14214,1891592576.0,531661,25.79,199999.98,41.4,13.281407,2.44,0.0462,800.0,27.27,4.105,1.99,,31.316,2765847.0,6.03,69990931.0,2236053760.0,27.27,0.28
COLD,Americold Realty Trust Common Shares,N,N,,30328,Real Estate,12600.0,Atlanta,GA,United States,REIT—Industrial,33.9764,0.022991769,1583200,35.23,35.18,1583200,0.84,82642,7063910912.0,2351240,34.73,35.75,40.42,57.81967,,0.0241,1200.0,35.36,4.725,0.61,,10.09,8847155.0,4.46,199484264.0,8856931328.0,35.18,0.21
CONE,CyrusOne Inc - Common Stock,Q,N,N,75201,Real Estate,452.0,Dallas,TX,United States,REIT—Specialty,64.06625,0.027143056,1229857,72.21,72.31,1229857,2.0,28629,8375039488.0,1598356,72.22,74.5,79.73,484.66663,3.05,0.0279,800.0,72.937,11.714,0.15,,20.552,4199420.0,2.85,114429147.0,11740044288.0,72.31,0.5
COP,ConocoPhillips Common Stock,N,N,,77079-2703,Energy,10400.0,Houston,TX,United States,Oil & Gas E&P,49.91353,0.032348335,6738414,44.67,44.34,6738414,1.68,316853,47412129792.0,11991361,43.93,44.99,67.13,138.15625,3.01,0.0376,800.0,44.71,1.745,0.32,,29.2,13601999.0,1.36,1070891594.0,53051076608.0,44.34,0.42
COR,CoreSite Realty Corporation Common Stock,N,N,,80202,Real Estate,450.0,Denver,CO,United States,REIT—Office,114.13272,0.039162185,389042,124.61,121.94,389042,4.88,5886,4744747520.0,488219,124.71,126.69,126.4,63.867348,3.37,0.0392,800.0,125.74,11.151,1.96,,3.179,1083222.0,2.89,37368537.0,6481108992.0,121.94,1.22
CORE,"Core-Mark Holding Company, Inc. - Common Stock",Q,N,N,76262,Consumer Defensive,8555.0,Westlake,TX,United States,Food Distribution,25.831839,0.016050244,306371,28.66,28.88,306371,0.48,5914,1302537344.0,377256,28.58,0.0,40.95,15.701086,1.17,0.0177,800.0,28.89,0.135,1.84,,12.913,668343.0,2.22,44006244.0,1826757888.0,28.88,0.12
COST,Costco Wholesale Corporation - Common Stock,Q,N,N,98027,Consumer Defensive,149000.0,Issaquah,WA,United States,Discount Stores,302.26566,0.008496454,3058128,306.01,307.25,3058128,2.8,306414,136156733440.0,4170743,306.9,306.0,325.26,32.90714,1.01,0.0092,1000.0,309.23,0.856,9.37,,37.62,5435097.0,1.48,438996709.0,135541972992.0,307.25,0.7
CPB,Campbell Soup Company Common Stock,N,N,,08103,Consumer Defensive,19000.0,Camden,NJ,United States,Packaged Foods,48.552868,0.028771063,3075342,48.66,47.0,3075342,1.4,221930,14855871488.0,3391548,48.96,49.1,57.54,17.709784,2.87,0.028800001,800.0,49.9,2.661,2.78,,8.258,15144000.0,5.61,172226778.0,21498429440.0,47.0,0.35
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),N,N,,T2P 1G1,Energy,864.0,Calgary,AB,Canada,Oil & Gas E&P,2.5980146,0.1831081,4139257,1.48,1.48,4139257,0.01,124496,763178496.0,2602980,1.44,1.48,4.84,9.062501,5.78,0.0047999998,27000.0,1.48,,0.16,,12.167,18136651.0,8.29,528352955.0,677504512.0,1.48,0.007
CPK,Chesapeake Utilities Corporation Common Stock,N,N,,19904,Utilities,955.0,Dover,DE,United States,Utilities—Regulated Gas,91.15493,0.018177737,72414,89.12,91.85,72414,1.66,1414,1503711360.0,75188,91.16,92.44,101.29,20.888126,1.76,0.0184,800.0,91.49,4.611,4.38,,35.546,155849.0,2.74,15972180.0,2175771648.0,91.85,0.405
CPLG,CorePoint Lodging Inc. Common Stock ,N,N,,75062,Real Estate,30.0,Irving,TX,United States,REIT—Hotel & Motel,7.2966175,0.12711866,338500,4.72,4.2,338500,0.8,8330,274494432.0,408516,4.55,4.95,13.42,-1.9344261,,0.2548,800.0,4.83,1.357,-2.44,,17.298,1303587.0,3.68,38759672.0,1017640000.0,4.2,0.2
CPSI,"Computer Programs and Systems, Inc. - Common Stock",Q,N,N,36695,Healthcare,2000.0,Mobile,AL,United States,Health Information Services,24.902868,0.01788109,88771,22.37,22.71,88771,0.4,2810,332327072.0,114187,22.54,23.06,35.78,8.207886,3.67,0.018099999,900.0,22.95,1.575,2.79,,13.495,586841.0,5.52,13231584.0,433492320.0,22.71,0.1
CPT,Camden Property Trust Common Stock,N,N,,77046,Real Estate,1650.0,Houston,TX,United States,REIT—Residential,99.814705,0.03532371,862757,91.44,94.35,862757,3.32,31979,8868497408.0,1060493,90.77,93.94,120.73,49.227028,3.38,0.036,900.0,92.42,10.577,1.85,,36.119,1498237.0,1.51,96168671.0,11286098944.0,94.35,0.83
CQP,"Cheniere Energy Partners, LP Cheniere Energy Partners, LP Common Units",A,N,,77002,Energy,,Houston,TX,United States,Oil & Gas Midstream,34.91941,0.07749535,254842,32.26,32.4,254842,2.56,4932,15561082880.0,529511,32.15,32.5,49.3,14.039302,5.87,0.0794,1100.0,32.5,4.658,2.29,,1.895,2287321.0,6.58,38488883.0,31708176384.0,32.4,0.64
CR,Crane Co. Common Stock,N,N,,06902,Industrials,12000.0,Stamford,CT,United States,Specialty Industrial Machinery,70.106026,0.02712324,377228,58.99,57.66,377228,1.72,19849,3355610112.0,505519,57.31,59.94,91.23,11.260078,1.97,0.0309,800.0,59.3212,1.251,5.14,,24.237,719765.0,1.59,48953555.0,4065481984.0,57.66,0.43
CRAI,"CRA International,Inc. - Common Stock",Q,N,N,02116-5092,Industrials,799.0,Boston,MA,United States,Consulting Services,45.822796,0.02004662,24071,42.9,41.78,24071,0.92,1124,338130464.0,49840,43.41,44.55,58.19,13.234756,,0.0223,800.0,43.58,1.112,3.28,,25.316,125179.0,2.87,6995894.0,524520960.0,41.78,0.23
CRH,CRH PLC American Depositary Shares,N,N,,16,Basic Materials,80300.0,Dublin,,Ireland,Building Materials,33.785664,0.024736188,583528,32.22,32.14,583528,0.91,53965,24039387136.0,1389188,32.16,32.59,40.88,179.69444,2.35,0.028199999,1200.0,32.625,,0.18,,21.473,1713767.0,1.35,784583793.0,23107379200.0,32.14,0.704
CRS,Carpenter Technology Corporation Common Stock,N,N,,19103,Industrials,5100.0,Philadelphia,PA,United States,Metal Fabrication,36.224266,0.031019775,476771,25.79,24.83,476771,0.8,21598,1227250048.0,583403,25.2,26.2,56.33,14.422473,1.87,0.0334,800.0,26.2,0.724,1.78,,33.857,1170237.0,1.82,46852295.0,1727223168.0,24.83,0.2
CRT,Cross Timbers Royalty Trust Common Stock,N,N,,75219,Energy,,Dallas,TX,United States,Oil & Gas E&P,7.2316914,0.12727064,36328,7.8337,7.85,36328,0.68,9722,46558200.0,39412,7.45,7.84,12.82,,9.01,0.09,900.0,7.7597,5.411,,,1.31,4510.0,0.14,,35953472.0,7.85,0.056277
CRWS,"Crown Crafts, Inc. - Common Stock",Q,N,N,70737,Consumer Cyclical,163.0,Gonzales,LA,United States,Apparel Manufacturing,5.750221,0.06477732,17528,4.94,4.85,17528,0.32,126,50325660.0,21046,4.85,4.96,7.94,8.684211,4.81,0.0653,800.0,4.96,0.737,0.57,,4.088,49469.0,1.87,8673405.0,55124020.0,4.85,0.08
CS,Credit Suisse Group American Depositary Shares,N,N,,8001,Financial Services,48500.0,Zurich,,Switzerland,Banks—Diversified,11.080441,0.027155174,3556900,9.28,9.22,3556900,0.07,750735,22472675328.0,5001096,9.38,9.49,14.12,6.012738,3.51,0.0077,3200.0,9.53,,1.57,,16.894,3562946.0,0.68,2021338604.0,20175722496.0,9.22,0.071318
CSCO,"Cisco Systems, Inc. - Common Stock",Q,N,N,95134,Technology,75900.0,San Jose,CA,United States,Communication Equipment,43.969707,0.030678852,20957342,45.96,45.9,20957342,1.44,1650654,192346865664.0,32079369,45.47,45.88,58.26,14.461905,2.98,0.0313,1400.0,46.0,3.362,3.15,,8.462,34592563.0,1.48,4219382818.0,170015506432.0,45.9,0.36
CSFL,CenterState Bank Corporation - Common Stock,Q,N,N,33880,Financial Services,2756.0,Winter Haven,FL,United States,Banks—Regional,20.863897,0.027810652,733385,16.9,17.16,733385,0.56,40020,2074245632.0,794853,16.49,17.32,26.79,10.575949,1.04,0.0358,1100.0,17.2345,2.631,1.58,,23.123,1522803.0,2.0,121176809.0,2002903040.0,17.16,0.14
CSGS,"CSG Systems International, Inc. - Common Stock",Q,N,N,80111,Technology,4339.0,Greenwood Village,CO,United States,Software—Infrastructure,49.157646,0.018791666,228185,48.0,48.45,228185,0.94,6087,1591481088.0,322606,47.82,48.72,58.69,13.712251,1.9,0.0199,800.0,48.45,1.848,3.51,,12.118,1842254.0,8.08,28810997.0,1843565696.0,48.45,0.235
CSL,Carlisle Companies Incorporated Common Stock,N,N,,85254,Industrials,13000.0,Scottsdale,AZ,United States,Building Products & Equipment,142.48596,0.015415821,524342,123.25,123.01,524342,2.0,31070,6647755776.0,549209,121.06,125.9,169.86,16.62912,1.26,0.0166,800.0,125.27,1.668,7.28,,46.165,1217505.0,2.75,54069867.0,7957291008.0,123.01,0.5
CSQ,Calamos Strategic Total Return Fund - Common Stock,Q,N,N,60563-2787,Financial Services,,Naperville,IL,United States,Asset Management,12.280882,0.08256881,323542,11.99,12.1,323542,1.11,24908,1872026880.0,657488,12.0401,12.18,14.68,,10.12,0.0936,2900.0,12.2,31.005,,,12.93,46963.0,0.18,,2672201984.0,12.1,0.093
CSSEP,"Chicken Soup for the Soul Entertainment, Inc. - 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock",Q,N,N,06807,Communication Services,85.0,Cos Cob,CT,United States,Broadcasting,24.07642,,10700,23.1769,23.43,10700,2.44,531,81964576.0,9953,23.165,23.35,26.58,,,0.104399994,1000.0,23.44,4.954,,,3.589,,,3066337.0,329037632.0,23.43,0.2031
CSTR,"CapStar Financial Holdings, Inc. - Common Stock",Q,N,N,37203,Financial Services,288.0,Nashville,TN,United States,Banks—Regional,13.560809,0.01642036,70500,12.18,12.38,70500,0.2,1335,221519552.0,68174,12.1,12.37,17.48,11.52381,,0.018099999,800.0,12.38,1.526,1.05,,15.064,58070.0,0.98,12529068.0,130269176.0,12.38,0.05
CSV,"Carriage Services, Inc. Common Stock",N,N,,77056,Consumer Cyclical,1137.0,Houston,TX,United States,Personal Services,20.888014,0.015839493,252028,18.94,18.49,252028,0.3,6680,343346080.0,223580,19.0,19.17,28.5,10.497267,0.95,0.0163,1100.0,19.21,2.928,1.83,,12.689,504054.0,2.15,15034737.0,802550912.0,18.49,0.075
CSWC,Capital Southwest Corporation - Common Stock,Q,N,N,75240,Financial Services,23.0,Dallas,TX,United States,Asset Management,17.257427,0.11190307,93071,14.03,14.0,93071,1.64,7774,260787808.0,212051,13.9,22.0,22.9,8.860759,4.25,0.1179,1000.0,14.06,7.977,1.58,,16.742,267930.0,1.57,17286858.0,489049280.0,14.0,0.51
CSWI,"CSW Industrials, Inc. - Common Stock",Q,N,N,75240,Industrials,730.0,Dallas,TX,United States,Specialty Industrial Machinery,71.1057,0.0076857386,55400,70.26,71.48,55400,0.54,3696,1048327424.0,84853,70.92,73.85,81.06,23.803335,,0.007900001,800.0,71.74,2.564,3.0,,18.77,107606.0,1.42,14484088.0,989536256.0,71.48,0.135
CSX,CSX Corporation - Common Stock,Q,N,N,32202,Industrials,20500.0,Jacksonville,FL,United States,Railroads,68.67323,0.013362423,4445457,73.34,73.9829,4445457,1.04,302310,55672344576.0,6016372,72.62,73.37,80.62,17.567635,1.73,0.014099999,1000.0,74.0,5.549,4.14,,15.508,7754720.0,1.51,764478443.0,65360949248.0,73.9829,0.26
CTAS,Cintas Corporation - Common Stock,Q,N,N,45262,Industrials,45000.0,Cincinnati,OH,United States,Specialty Business Services,245.96169,0.01013594,799071,251.58,252.07,799071,2.55,25989,26137360384.0,1070811,250.0804,251.62,304.81,33.991882,1.0,0.0101,1000.0,253.2,3.512,7.39,,31.956,1936876.0,1.96,87786115.0,25497255936.0,252.07,2.55
CTB,Cooper Tire & Rubber Company Common Stock,N,N,,45840,Consumer Cyclical,8720.0,Findlay,OH,United States,Auto Parts,24.712868,0.0158073,485642,26.57,26.26,485642,0.42,34418,1328461056.0,549124,26.21,26.83,32.33,12.288372,1.32,0.0165,900.0,26.715,0.517,2.15,,23.422,3029662.0,5.28,49977176.0,1379046528.0,26.26,0.105
CTBI,"Community Trust Bancorp, Inc. - Common Stock",Q,N,N,41501,Financial Services,1003.0,Pikeville,KY,United States,Banks—Regional,39.201103,0.04227734,43928,35.48,35.9,43928,1.52,2806,632598016.0,58253,34.901,0.0,47.54,13.415093,3.22,0.0463,900.0,35.9,4.689,2.65,,34.458,97075.0,1.84,15123985.0,814978112.0,35.9,0.38
CTR,ClearBridge MLP and Midstream Total Return Fund Inc. Common Stock,N,N,,10018,Financial Services,,New York,NY,United States,Asset Management,5.7144117,,334471,3.01,3.03,334471,0.74,23598,115584304.0,548880,2.99,3.05,9.8,,,0.2543,1100.0,3.04,,,,,74687.0,0.13,,,3.03,0.08
CTRE,"CareTrust REIT, Inc. - Common Stock",Q,N,N,92673,Real Estate,52.0,San Clemente,CA,United States,REIT—Healthcare Facilities,19.112646,0.046740778,601228,19.79,20.26,601228,1.0,28018,1880248448.0,983719,19.53,20.26,25.3,25.1859,4.41,0.0505,1000.0,20.26,13.224,0.78,,9.683,1789857.0,2.43,94157945.0,2222791680.0,20.26,0.25
CTS,CTS Corporation Common Stock,N,N,,60532,Technology,3570.0,Lisle,IL,United States,Electronic Components,25.832794,0.0068906117,275657,23.22,22.98,275657,0.16,6237,744144320.0,185966,23.0,23.37,34.29,20.353983,0.69,0.0070999996,800.0,23.27,1.644,1.13,,12.288,604288.0,3.4,31530188.0,747033920.0,22.98,0.04
CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,Q,N,N,07666,Technology,291700.0,Teaneck,NJ,United States,Information Technology Services,58.43397,0.0148148155,3188485,55.35,55.61,3188485,0.88,215219,29764333568.0,4839885,54.98,55.6,71.48,13.396594,,0.0165,900.0,55.89,1.776,4.11,,19.617,10855847.0,2.6,538704239.0,30016555008.0,55.61,0.22
CTT,"CatchMark Timber Trust, Inc. Class A Common Stock",N,N,,30328,Real Estate,26.0,Atlanta,GA,United States,REIT—Specialty,9.42397,0.06517804,230928,8.285,8.56,230928,0.54,6566,402121504.0,276806,8.25,8.53,12.54,-45.833332,4.9,0.065,800.0,8.38,17.196,-0.18,,3.18,564711.0,2.41,44025755.0,840154880.0,8.56,0.135
CTVA,"Corteva, Inc. Common Stock ",N,N,,19805,Basic Materials,21000.0,Wilmington,DE,United States,Agricultural Inputs,26.543455,0.010077519,4890071,25.8,25.89,4890071,0.52,160401,19468845056.0,5297464,25.92,26.21,32.78,14.615169,,0.0202,900.0,26.35,1.411,1.78,,32.474,10679319.0,2.42,747464472.0,20333651968.0,25.89,0.13
CTXS,"Citrix Systems, Inc. - Common Stock",Q,N,N,33309,Technology,8400.0,Fort Lauderdale,FL,United States,Software—Application,124.50618,0.010056748,2156571,139.21,139.31,2156571,1.4,77126,17339928576.0,2750272,139.0163,140.45,155.1,22.839025,,0.0101,1100.0,141.08,6.367,6.15,,-1.78,4784550.0,1.8,122575379.0,20069943296.0,139.31,0.35
CUB,Cubic Corporation Common Stock,N,N,,92123,Industrials,6200.0,San Diego,CA,United States,Aerospace & Defense,53.77397,0.006089154,319157,43.52,42.17,319157,0.27,20953,1362188928.0,435900,43.02,43.96,75.2,11.217138,0.52,0.0066000004,1300.0,44.44,1.383,3.88,,28.621,3404358.0,6.91,31049089.0,2080569472.0,42.17,0.135
CUBA,"The Herzfeld Caribbean Basin Fund, Inc. - Closed End FUnd",Q,N,N,33116,Financial Services,,Miami,FL,United States,Asset Management,5.3100734,0.14664948,18042,3.88,3.9,18042,1.14,4610,23497438.0,33170,3.8309,3.97,7.15,,4.61,0.3077,1300.0,3.9206,28.102,,,7.844,464.0,0.02,,21715566.0,3.9,0.285
CUBE,CubeSmart Common Shares,N,N,,19355,Real Estate,3011.0,Malvern,PA,United States,REIT—Industrial,28.966618,0.046728972,1293842,27.82,27.25,1293842,1.32,69238,5418528256.0,1999927,27.7838,27.81,36.32,34.555553,3.51,0.0493,800.0,28.12,10.784,0.81,,9.207,3742419.0,2.02,192374131.0,7182464000.0,27.25,0.33
CUK,Carnival Plc ADS ADS,N,N,,33178,Consumer Cyclical,150000.0,Miami,FL,United States,Leisure,29.79647,0.13253811,1958157,15.09,15.96,1958157,2.0,503045,9356319744.0,2270654,14.495,14.71,52.6,6.185654,3.38,0.1325,1300.0,15.25,1.029,2.37,,35.46,1772306.0,0.49,565426400.0,21552449536.0,15.96,0.5
CULP,"Culp, Inc. Common Stock",N,N,,27265,Consumer Cyclical,1440.0,High Point,NC,United States,Textile Manufacturing,10.753015,0.058866277,102585,6.88,6.84,102585,0.42,8416,86166288.0,82969,6.94,6.99,19.63,33.428574,1.54,0.0617,1000.0,7.095,0.177,0.21,,12.931,90934.0,1.29,10914672.0,51270936.0,6.84,0.105
CURO,CURO Group Holdings Corp. Common Stock,N,N,,67205,Financial Services,4000.0,Wichita,KS,United States,Credit Services,9.641323,0.007402423,472257,7.43,7.35,472257,0.22,41338,299396416.0,617596,7.12,7.53,16.99,6.168067,,0.0332,800.0,7.52,0.925,1.19,,1.461,1054612.0,1.33,18130608.0,1058611392.0,7.35,0.055
CVA,Covanta Holding Corporation Common Stock,N,N,,07960,Industrials,4000.0,Morristown,NJ,United States,Waste Management,12.210735,0.10799136,1060242,9.26,9.38,1060242,0.32,108917,1226512384.0,1592830,9.16,9.31,18.38,-54.67647,6.19,0.035,1800.0,9.46,1.939,-0.17,,2.3,2429315.0,1.46,116576627.0,3654401024.0,9.38,0.25
CVBF,CVB Financial Corporation - Common Stock,Q,N,N,91764,Financial Services,,Ontario,CA,United States,Banks—Regional,20.17478,0.035406936,586542,20.335,20.63,586542,0.72,26362,2742742784.0,1040754,20.03,20.25,22.23,18.568806,2.65,0.0377,800.0,20.63,5.027,1.09,,14.326,5808534.0,6.33,127670155.0,2317609984.0,20.63,0.18
CVCY,Central Valley Community Bancorp - Common Stock,Q,N,N,93720,Financial Services,273.0,Fresno,CA,United States,Banks—Regional,17.384045,0.02716888,26157,16.195,16.25,26157,0.44,3062,201851968.0,35450,15.83,16.24,22.15,16.510204,1.62,0.0291,1100.0,16.25,1.866,0.98,,17.532,52919.0,1.87,10364220.0,145769968.0,16.25,0.11
CVGW,"Calavo Growers, Inc. - Common Stock",Q,N,N,93060,Consumer Defensive,3657.0,Santa Paula,CA,United States,Packaged Foods,72.05375,0.017796474,153285,61.81,62.43,153285,1.1,6397,1097712000.0,260880,61.79,62.99,100.58,18.50742,1.29,0.0184,1800.0,62.5,0.924,3.37,,16.202,2507221.0,14.45,16312541.0,1119042688.0,62.43,1.1
CVI,CVR Energy Inc. Common Stock,N,N,,77479,Energy,1486.0,Sugar Land,TX,United States,Oil & Gas Refining & Marketing,30.404854,0.12298747,628314,22.36,22.58,628314,1.6,37205,2191575808.0,1201224,21.66,22.25,55.52,14.155844,7.98,0.0716,800.0,22.37,0.537,1.54,,12.185,2624197.0,2.07,29324776.0,3225636096.0,22.58,0.4
CVLY,"Codorus Valley Bancorp, Inc - Common Stock",Q,N,N,17405,Financial Services,327.0,York,PA,United States,Banks—Regional,18.775661,0.04542773,26914,13.56,13.78,26914,0.64,552,133860464.0,23080,13.71,13.79,23.6,,2.32,0.0498,900.0,13.78,0.331,,,19.418,40693.0,1.81,8691560.0,22192084.0,13.78,0.16
CVR,Chicago Rivet & Machine Co. Common Stock,A,N,,60563,Industrials,217.0,Naperville,IL,United States,Tools & Accessories,23.810146,0.04224676,414,20.83,20.15,414,0.76,1,20124530.0,851,20.15,21.95,30.02,,2.67,0.0378,800.0,20.83,0.401,,,30.019,927.0,1.52,675577.0,12768120.0,20.15,0.22
CVS,CVS Health Corporation Common Stock,N,N,,02895,Healthcare,290000.0,Woonsocket,RI,United States,Healthcare Plans,67.167725,0.03031681,6142628,65.97,64.97,6142628,2.0,601474,87045660672.0,11174888,66.41,66.97,77.03,8.832229,2.46,0.030299999,800.0,67.19,0.623,7.54,,49.916,14719841.0,1.59,1304202159.0,162644180992.0,64.97,0.5
CW,Curtiss-Wright Corporation Common Stock,N,N,,28036,Industrials,9100.0,Davidson,NC,United States,Specialty Industrial Machinery,121.590515,0.0064583533,244185,105.29,101.4,244185,0.68,22231,4377114112.0,338916,104.21,106.7,149.9,13.809461,0.57,0.0069,1300.0,107.85,1.981,7.61,,40.05,695200.0,2.52,41299568.0,4974965760.0,101.4,0.17
CWBC,Community West Bancshares - Common Stock,Q,N,N,93117,Financial Services,133.0,Goleta,CA,United States,Banks—Regional,9.1424265,0.033536587,4114,6.56,6.71,4114,0.18,5627,56934928.0,8116,6.36,6.99,11.86,,1.69,0.0269,800.0,6.78,2.384,,,9.815,2700.0,0.31,6364006.0,91242592.0,6.71,0.045
CWEN,"Clearway Energy, Inc. Class C Common Stock",N,N,,08540,Utilities,307.0,Princeton,NJ,United States,Utilities—Renewable,20.27081,0.037656903,819328,21.51,21.51,819328,0.84,35373,4168062208.0,900567,21.56,21.79,23.24,,5.4,0.0397,1000.0,21.92,9.051,,,15.808,3747050.0,4.9,105302007.0,9711806464.0,21.51,0.21
CWH,"Camping World Holdings, Inc. Class A Commom Stock",N,N,,60069,Consumer Cyclical,10809.0,Lincolnshire,IL,United States,Recreational Vehicles,12.223162,0.014814815,2897371,21.6,22.75,2897371,0.32,186871,1950245504.0,2295241,21.52,21.78,23.5,24.02174,,0.0143,1000.0,22.19,0.666,0.92,,-1.201,9754416.0,5.24,26315015.0,3234576896.0,22.75,0.153
CWT,California Water Service Group Common Stock,N,N,,95112-4508,Utilities,1207.0,San Jose,CA,United States,Utilities—Regulated Water,50.39125,0.017553423,243085,45.86,46.45,243085,0.85,14430,2261303808.0,377450,46.03,46.35,57.48,27.30588,1.98,0.0187,900.0,46.43,4.504,1.7,,15.501,1033259.0,3.38,48264857.0,3216166912.0,46.45,0.213
CX,"Cemex, S.A.B. de C.V. Sponsored ADR",N,N,,66265,Basic Materials,40856.0,San Pedro Garza Garcia,NL,Mexico,Building Materials,3.0882354,0.004132231,11762085,2.42,2.28,11762085,0.1,650570,3625704192.0,10947640,2.34,2.41,4.46,11.428573,,0.040999997,3100.0,2.45,1.118,0.21,,5.98,13120714.0,1.2,1444950375.0,14664367104.0,2.28,0.04962
CXO,Concho Resources Inc. Common Stock,N,N,,79701,Energy,1453.0,Midland,TX,United States,Oil & Gas E&P,66.93904,0.010454545,1902928,55.0,56.98,1902928,0.8,89026,10775334912.0,2965309,53.95,54.4,107.69,456.5,,0.0143,800.0,55.46,3.679,0.12,,42.922,8865029.0,3.36,192933864.0,15238231040.0,56.98,0.2
CXP,"Columbia Property Trust, Inc. Common Stock",N,N,,10010,Real Estate,93.0,New York,NY,United States,REIT—Office,17.476543,0.059723236,1044042,13.73,13.46,1044042,0.84,18761,1521692928.0,1119277,13.24,13.62,22.72,55.416668,4.47,0.0652,900.0,13.82,10.271,0.24,,22.398,1761633.0,1.75,113199281.0,2975185408.0,13.46,0.21
CXW,"CoreCivic, Inc. Common Stock",N,N,,37027,Real Estate,14075.0,Brentwood,TN,United States,REIT—Specialty,14.167206,0.13465953,1138085,13.07,12.73,1138085,1.76,66320,1540821504.0,1405561,12.77,13.15,24.38,9.540741,8.4,0.1439,800.0,13.33,1.75,1.35,,11.33,1689133.0,1.52,118428670.0,3477700864.0,12.73,0.44
CYD,China Yuchai International Limited Common Stock,N,N,,048581,Industrials,8852.0,Singapore,,Singapore,Specialty Industrial Machinery,12.305367,0.05752988,40171,12.55,13.02,40171,0.85,387,513588832.0,77203,12.57,12.62,16.0,3.8090909,6.13,0.0657,3000.0,12.57,,3.3,,31.054,30369.0,0.35,12497734.0,531566368.0,13.02,0.85
CZNC,Citizens & Northern Corp - Common Stock,Q,N,N,16901,Financial Services,,Wellsboro,PA,United States,Banks—Regional,23.056765,0.050092768,28500,21.56,21.9,28500,1.08,777,300543520.0,28446,21.8,22.21,29.06,12.976191,4.56,0.056399997,800.0,21.95,4.589,1.68,,18.222,92726.0,3.5,13201031.0,339145696.0,21.9,0.27
CZWI,"Citizens Community Bancorp, Inc. - Common Stock",Q,N,N,54701,Financial Services,261.0,Eau Claire,WI,United States,Banks—Regional,9.940515,0.028378377,21128,7.4,7.47,21128,0.21,358,85191344.0,19874,7.47,7.66,12.75,8.58427,1.37,0.028199999,1100.0,7.64,3.862,0.89,,13.266,2924.0,0.17,8959137.0,215386672.0,7.47,0.21
D,"Dominion Energy, Inc. Common Stock",N,N,,23219,Utilities,19100.0,Richmond,VA,United States,Utilities—Diversified,80.61478,0.045267288,3050057,81.56,82.05,3050057,3.76,290686,69797568512.0,4476009,82.42,82.94,90.89,18.001406,4.08,0.0461,800.0,83.1665,6.41,4.62,,33.777,11086899.0,3.16,836305229.0,110311276544.0,82.05,0.94
DAKT,"Daktronics, Inc. - Common Stock",Q,N,N,57006,Technology,2412.0,Brookings,SD,United States,Computer Hardware,5.4249263,0.04395604,221342,4.55,4.61,221342,0.2,6452,205995952.0,255520,4.53,4.61,7.95,25.38889,3.73,0.0467,800.0,4.61,0.268,0.18,,4.062,2354656.0,9.5,37125288.0,163404496.0,4.61,0.05
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,N,N,,90071,Financial Services,,Los Angeles,CA,United States,Asset Management,19.570515,,45471,18.53,18.58,45471,1.32,1231,277245984.0,129775,18.5604,18.6,21.3,,8.31,0.071,1000.0,18.5604,,,,,207674.0,1.64,,,18.58,0.11
